year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2019,29,Missouri,6137428,262047,4.27
2019,30,Montana,1068778,25068,2.35
2019,31,Nebraska,1934408,142468,7.36
2019,32,Nevada,3080156,610652,19.83
2019,33,New Hampshire,1359711,86906,6.39
2019,34,New Jersey,8882190,2074686,23.36
2019,35,New Mexico,2096829,201842,9.63
2019,36,New York,19453561,4360291,22.41
2019,37,North Carolina,10488084,884631,8.43
2019,38,North Dakota,762062,31138,4.09
2019,39,Ohio,11689100,558952,4.78
2019,40,Oklahoma,3956971,240209,6.07
2019,41,Oregon,4217737,410552,9.73
2019,42,Pennsylvania,12801989,893167,6.98
2019,44,Rhode Island,1059361,145074,13.69
2019,45,South Carolina,5148714,288410,5.6
2019,46,South Dakota,884659,36332,4.11
2019,47,Tennessee,6829174,373472,5.47
2019,48,Texas,28995881,4951156,17.08
2019,50,Vermont,623989,29374,4.71
2019,49,Utah,3205958,274575,8.56
