year,state_fips,state_name,pop_25plus,bachelors_or_higher,bachelors_pct
2018,12,Florida,15302125,4647230,30.37
2018,13,Georgia,6978172,2224033,31.87
2018,16,Idaho,1143747,316262,27.65
2018,15,Hawaii,995589,333573,33.51
2018,17,Illinois,8706376,3052684,35.06
2018,18,Indiana,4467893,1211066,27.11
2018,19,Iowa,2104792,610540,29.01
2018,20,Kansas,1911426,646143,33.8
2018,21,Kentucky,3039414,753785,24.8
2018,22,Louisiana,3125733,758653,24.27
2018,23,Maine,983382,310050,31.53
2018,24,Maryland,4167339,1700695,40.81
2018,25,Massachusetts,4832728,2152010,44.53
2018,26,Michigan,6869846,2031893,29.58
2018,27,Minnesota,3809229,1398128,36.7
2019,28,Mississippi,1979664,441751,22.31
2019,29,Missouri,4206162,1271281,30.22
2019,30,Montana,741950,249148,33.58
2019,31,Nebraska,1271770,422587,33.23
2019,32,Nevada,2136466,548919,25.69
2019,33,New Hampshire,979750,368237,37.58
2019,34,New Jersey,6191229,2551765,41.22
2019,35,New Mexico,1425988,394598,27.67
2019,36,New York,13664734,5166218,37.81
2019,37,North Carolina,7187077,2321185,32.3
2019,38,North Dakota,504375,153397,30.41
2019,39,Ohio,8049805,2356585,29.28
2019,40,Oklahoma,2619244,686509,26.21
2019,41,Oregon,2988118,1032316,34.55
2019,42,Pennsylvania,9028036,2917402,32.31
2019,44,Rhode Island,746952,260275,34.84
2019,45,South Carolina,3563204,1054559,29.6
2019,46,South Dakota,588029,174784,29.72
2019,47,Tennessee,4693962,1348224,28.72
2019,48,Texas,18772550,5776533,30.77
2019,50,Vermont,445558,172272,38.66
2019,49,Utah,1911592,664661,34.77
2019,51,Virginia,5872757,2325070,39.59
2019,53,Washington,5290324,1955632,36.97
2019,54,West Virginia,1281086,269706,21.05
2019,55,Wisconsin,4015285,1258379,31.34
2019,56,Wyoming,389847,113557,29.13
2019,72,Puerto Rico,2301735,626580,27.22
2019,17,Illinois,8694694,3108972,35.76
2019,13,Georgia,7080222,2301568,32.51
2019,16,Idaho,1170997,336655,28.75
2019,15,Hawaii,996668,335209,33.63
2019,18,Indiana,4502015,1212826,26.94
2019,19,Iowa,2123004,622253,29.31
2019,20,Kansas,1918081,652489,34.02
2019,21,Kentucky,3048442,765923,25.13
2019,22,Louisiana,3140201,784275,24.98
2019,23,Maine,991152,328999,33.19
2019,24,Maryland,4183858,1710230,40.88
2019,25,Massachusetts,4850576,2181743,44.98
2019,26,Michigan,6894627,2070795,30.03
2019,27,Minnesota,3847212,1433226,37.25
2019,09,Connecticut,2496420,994548,39.84
2019,12,Florida,15484502,4753637,30.7
2019,01,Alabama,3360058,885357,26.35
2019,02,Alaska,484058,146157,30.19
2019,04,Arizona,4944540,1492158,30.18
2019,05,Arkansas,2036456,475367,23.34
2019,06,California,26937872,9428484,35.0
2019,08,Colorado,3974943,1695602,42.66
2019,10,Delaware,687311,228199,33.2
2019,11,District of Columbia,505145,301429,59.67
2021,01,Alabama,3451208,946766,27.43
2021,72,Puerto Rico,2401409,683894,28.48
2021,04,Arizona,4980297,1615081,32.43
2021,05,Arkansas,2037763,515034,25.27
2021,06,California,26909869,9737817,36.19
2021,08,Colorado,4044182,1796240,44.42
2021,09,Connecticut,2534376,1067671,42.13
2021,10,Delaware,711104,253292,35.62
2021,11,District of Columbia,478774,301852,63.05
2021,12,Florida,15762122,5226846,33.16
2021,13,Georgia,7234271,2505076,34.63
